,0
297,3.2366219732244765
298,2.735700156484884
299,3.6865280908953495
300,3.679245354502326
301,3.7838048766059305
302,2.692135696999709
303,1.9223361234109888
304,1.885471681412093
305,1.8182485176038368
306,1.7171545349543025
307,1.1878514566948255
308,1.4651051631835466
309,1.5292879474018604
310,1.4245320628459883
311,1.560083671652093
312,1.8965354549938955
313,1.659967713544186
314,2.003633923968837
315,1.8653930914936043
316,1.4929128133770346
317,1.7960006554777326
318,2.139182361849768
319,2.2462333816206974
320,1.8799239848511629
321,2.526854141000233
322,2.307762188600581
323,2.281730720183372
324,1.8157324011551168
325,2.2101273740661638
326,2.407947098712384
327,2.292253870712965
328,1.7673868449209305
329,2.20400989366186
330,1.86518797155
331,1.777091560418372
332,1.4843614483569767
333,1.408007904285174
334,1.6174095122044183
335,2.357541109253197
336,2.1709704469901165
337,2.01057652217093
338,1.741491895038488
339,1.3433562068023257
340,1.488100568755814
341,1.887275715859186
342,1.893904852286337
343,2.138828946151744
344,1.7858225138794186
345,2.2676689890547674
346,2.31428969523
347,2.137842283606744
348,2.895970654912325
349,3.988188223452733
350,3.54433117527314
351,2.9227918852269767
352,2.2749490841438376
353,2.4922127636040696
354,2.785583661398721
355,2.291127999193256
356,2.8772707734202325
357,2.588529747524652
358,1.9729540725868608
359,1.4940018783293023
360,1.8393279359009305
361,2.05160645307
362,2.2228430160193606
363,2.1822684029023254
364,2.2857781868058136
365,1.8814840849372676
366,1.8026420196469188
367,2.1618093898604647
368,1.8677748441209303
369,1.9127224484063376
370,1.9894702875097676
371,1.9979762298202324
372,1.6623601490253488
373,1.9727108584977908
374,1.883149013397384
375,2.800621540408604
376,2.779741776557965
377,2.972615314181162
378,2.4316528719549417
379,2.1437307041253493
380,2.72061419955907
381,2.836163026449418
382,2.4763088143255816
383,2.8692360632347675
384,2.4877333135414537
385,2.0845009965655814
386,2.5495490839618604
387,3.394618303947558
388,3.554913848271628
389,4.426748165211628
390,3.079230895735465
391,2.140534102909709
392,2.3398424207450583
393,4.3054528281069775
394,3.416699252049069
395,3.462046534033779
396,3.1873809791386045
397,2.726310151923314
398,2.303227922922558
399,1.9003921424005816
400,2.3672664236720933
401,2.3445074345232557
402,2.5103805708364533
403,2.3004950840773257
404,2.0785961495459304
405,2.1998251318723256
406,2.209384962317442
407,2.8531680541848843
408,2.6114344685487207
409,3.17655265227593
410,3.810654032308605
411,3.4205420327912788
412,2.957294448849768
413,2.133218459402616
414,2.080798523112907
415,1.5682830994423254
416,1.8619306955602328
417,1.6419560081206392
418,1.7815534807404068
419,2.355997972461453
420,1.728167742256744
421,2.161719783468837
422,2.41098156376657
423,2.2905028898169766
424,2.1265386711777907
425,2.0754314330175
426,1.9677050568078485
427,2.262566035265058
428,2.944556444679069
429,2.6763235680256394
430,2.25982502187907
431,2.6469411248047674
432,2.543397265236628
433,1.736742221422849
434,2.0544584820716856
435,2.194025386254768
436,2.305327929170756
437,2.5558468198180817
438,3.4005103336911637
439,3.329014738168256
440,2.6334594199841863
441,2.380302194217907
442,1.943873401916686
443,2.049123078403256
444,2.6798945210455813
445,2.825053705908837
446,2.3798486449636047
447,2.320296867529012
448,2.655300447057209
449,2.35758189648314
450,1.760230735590698
451,2.9046736131556394
452,2.579227621446628
453,2.952346184494535
454,3.2783594417972086
455,2.5632713719456395
456,2.1387194767493023
457,2.715608914616512
458,2.727696299389709
459,3.040345025617326
460,2.720430371427558
461,3.114236885868837
462,2.496717225709535
463,2.3446988416986634
464,2.768560475034419
465,3.672168049554768
466,2.955408039923721
467,2.080788022506977
468,2.0356817446606392
469,2.162277157084535
470,1.8184263398761045
471,1.9228460514040115
472,2.219454424877442
473,1.7895932267752326
474,2.2302805760581395
475,2.536254336021628
476,2.5493337946496517
477,2.025175971708837
478,1.961424246280814
479,2.4001923602490693
480,2.35877705851814
481,2.3303340944393027
482,2.499344675052907
483,2.50586895876
484,2.26784959167314
485,2.828514657935233
486,2.584401905625
487,2.040895059410581
488,2.545269979715407
489,2.353755350961628
490,2.3054003311918607
491,2.103256711303779
492,1.6724334434204653
493,2.6035216677366275
494,2.4146837812109303
495,3.665791573311977
496,2.7743980190801163
497,3.0006531497311046
498,1.5195193395572095
499,2.0357491856372087
500,1.3307668101920929
501,1.7103885907196512
502,1.4767140078987209
503,1.8928977475102329
504,1.4421413926988371
505,1.6456812598056976
506,1.640577590893256
507,1.4354222717406973
508,1.6769562444948838
509,1.635798873098198
510,2.273317197409186
511,1.6048798891346514
512,1.5692359605055812
513,1.9696402188240696
514,1.5557629539777909
515,1.7214808473889534
516,2.841378315758895
517,1.865191494192907
518,2.691049952541279
519,3.3405786026232565
520,2.6291542218191863
521,2.362712975482849
522,2.667377374027325
523,1.843892604003837
524,1.680211734504593
525,1.7967856755514535
526,2.9174421976852325
527,2.029788881307907
528,3.041457907802267
529,2.582684957028837
530,2.5013264909679074
531,2.181062986710698
532,2.407750479301046
533,2.7029426765804656
534,3.184154100414419
535,2.883992129896744
536,3.1020067063447674
537,3.2685415975569767
538,1.8537603036927903
539,2.0446725499194764
540,1.9622931582835463
541,1.903066483827384
542,1.801268988153488
543,1.5593170034302324
544,2.311078488403256
